StartTime,PeakTime,EndTime,Class,PeakFlux,Observatory,Instrument,NumSpots,NOAA_AR,NOAA_Class,Zurich,McIntosh,MtWilson,HPC_X,HPC_Y,HGS_Long,HGS_Lat,EventType,EventType2
2024-06-03 00:19:00,2024-06-03 00:30:00,2024-06-03 00:34:00,C8.9,,GOES,GOES,,13697,,,,,0.0,6.630033,0.0,0.0,FL,9
2024-06-03 02:02:00,2024-06-03 02:16:00,2024-06-03 02:31:00,C3.0,,GOES,GOES,,13702,,,,,0.0,6.4868148,0.0,0.0,FL,9
2024-06-03 04:59:00,2024-06-03 05:17:00,2024-06-03 05:27:00,M1.0,,GOES,GOES,,13697,,,,,0.0,6.2406942,0.0,0.0,FL,9
2024-06-03 06:41:00,2024-06-03 06:50:00,2024-06-03 06:54:00,C5.5,,GOES,GOES,,13697,,,,,0.0,6.0988572,0.0,0.0,FL,9
2024-06-03 07:55:00,2024-06-03 07:59:00,2024-06-03 08:03:00,C2.5,,GOES,GOES,,13697,,,,,0.0,5.99595402,0.0,0.0,FL,9
2024-06-03 08:05:00,2024-06-03 08:15:00,2024-06-03 08:22:00,C3.2,,GOES,GOES,,0,,,,,0.0,5.982048,0.0,0.0,FL,9
2024-06-03 08:42:00,2024-06-03 08:46:00,2024-06-03 08:51:00,C3.0,,GOES,GOES,,13697,,,,,0.0,5.93059566,0.0,0.0,FL,9
2024-06-03 09:23:00,2024-06-03 09:30:00,2024-06-03 09:34:00,C4.9,,GOES,GOES,,13697,,,,,0.0,5.87358042,0.0,0.0,FL,9
2024-06-03 11:33:00,2024-06-03 11:43:00,2024-06-03 11:49:00,C5.1,,GOES,GOES,,13697,,,,,0.0,5.69279736,0.0,0.0,FL,9
2024-06-03 11:49:00,2024-06-03 11:55:00,2024-06-03 12:00:00,M3.2,,GOES,GOES,,13697,,,,,0.0,5.67054684,0.0,0.0,FL,9
2024-06-03 12:18:00,2024-06-03 12:27:00,2024-06-03 12:31:00,M2.8,,GOES,GOES,,13697,,,,,0.0,5.6302176,0.0,0.0,FL,9
2024-06-03 13:58:00,2024-06-03 14:11:00,2024-06-03 14:23:00,M4.8,,GOES,GOES,,13695,,,,,0.0,5.49114972,0.0,0.0,FL,9
2024-06-03 21:18:00,2024-06-03 21:49:00,2024-06-03 22:05:00,C8.3,,GOES,GOES,,13697,,,,,0.0,4.8792267,0.0,0.0,FL,9
2024-06-03 22:05:00,2024-06-03 22:08:00,2024-06-03 22:12:00,C8.1,,GOES,GOES,,13697,,,,,0.0,4.81386024,0.0,0.0,FL,9
2024-06-03 13:30:00,2024-06-03 13:45:00,2024-06-03 13:58:00,C3.4,,SDO,AIA,,3698,,,,,152.84094,360.655242,10.0,22.0,FL,9
2024-06-03 17:47:00,2024-06-03 19:03:00,2024-06-03 19:31:00,C2.5,,SDO,AIA,,3695,,,,,584.07795,374.048508,42.0,23.0,FL,9
2024-06-03 22:39:00,2024-06-03 22:48:00,2024-06-03 23:40:00,C4.0,,SDO,AIA,,3695,,,,,610.69518,358.36206,44.0,22.0,FL,9
